158	1551
158	1752
158	1196
158	1232
186	1515
186	1710
186	1551
186	1752
1463	226
226	1043
226	1321
227	1608
227	806
227	1276
227	1184
292	1626
292	1256
292	1331
305	1503
305	1756
305	1674
305	1840
317	1526
317	1787
317	1407
444	1704
444	1503
444	1271
444	1674
476	1514
476	1745
476	1407
479	1777
659	479
1787	479
542	1419
542	1865
659	1711
1757	659
659	1751
660	1796
660	1626
677	1719
677	1892
677	1685
713	806
713	1575
713	1184
1744	713
760	1719
760	776
760	1655
776	1652
776	1496
806	1760
806	1281
820	1778
820	1698
820	1864
904	1184
904	1744
904	1704
904	1503
946	1346
946	1551
946	1360
946	1196
1043	1655
1043	1757
1136	1768
1136	1756
1136	1503
1184	1710
1196	1778
1196	1698
1232	1271
1232	1698
1232	1644
1256	1321
1271	1752
1271	1742
1276	1796
1276	1605
1281	1575
1321	1346
1321	1360
1331	1515
1331	1346
1331	1551
1360	1757
1360	1800
1407	1586
1419	1839
1496	1463
1484	1865
1484	1652
1484	1719
1496	1655
1514	1685
1515	1626
1515	1605
1526	1847
1526	1745
1536	1542
1536	1858
1542	1742
1575	1768
1586	1787
1586	1751
1605	1710
1608	1760
1796	1608
1644	1742
1644	1724
1652	1839
1655	1711
1674	1742
1685	1892
1685	1745
1698	1724
1704	1710
1704	1752
1711	1777
1738	1756
1738	1840
1744	1768
1751	1800
1777	1847
1778	1800
1800	1864
1839	1865
1840	1858
1847	1892
1551	158
1752	158
1196	158
1232	158
1515	186
1710	186
1551	186
1752	186
1043	226
1321	226
1608	227
806	227
1276	227
1184	227
1626	292
1256	292
1331	292
1503	305
1756	305
1674	305
1840	305
1526	317
1787	317
1407	317
1704	444
1503	444
1271	444
1674	444
1514	476
1745	476
1407	476
1419	542
1865	542
1711	659
1751	659
1626	660
1719	677
1892	677
1685	677
1575	713
1184	713
1719	760
1655	760
1652	776
1281	806
1778	820
1698	820
1184	904
1744	904
1704	904
1503	904
1346	946
1551	946
1196	946
1655	1043
1757	1043
1768	1136
1756	1136
1503	1136
1710	1184
1778	1196
1698	1196
1271	1232
1698	1232
1644	1232
1321	1256
1752	1271
1742	1271
1796	1276
1605	1276
1575	1281
1346	1321
1360	1321
1515	1331
1346	1331
1551	1331
1800	1360
1586	1407
1839	1419
1865	1484
1652	1484
1719	1484
1655	1496
1685	1514
1626	1515
1605	1515
1847	1526
1745	1526
1542	1536
1858	1536
1742	1542
1768	1575
1751	1586
1710	1605
1742	1644
1724	1644
1839	1652
1711	1655
1742	1674
1892	1685
1745	1685
1724	1698
1710	1704
1752	1704
1777	1711
1756	1738
1840	1738
1768	1744
1800	1751
1847	1777
1800	1778
1864	1800
1865	1839
1858	1840
1892	1847
